id,especie,raca,idade_anos,sexo,peso_kg,hemoglobina,hematocrito,leucocitos,plaquetas,eritrocitos,neutrofilos,linfocitos,monocitos,eosinofilos,glicose,ureia,creatinina,alt,ast,fosfatase_alcalina,fa,ggt,proteinas_totais,albumina,globulinas,colesterol,triglicerideos,bilirrubina_total,calcio,fosforo,sodio,potassio,temperatura_retal,pulso,freq_respiratoria,febre,apatia,perda_peso,vomito,diarreia,tosse,letargia,feridas_cutaneas,poliuria,polidipsia,dor,cirurgia,diagnostico
15,Cão,Golden Retriever,9.1,M,35.2,15.3,45.8,9300,355000,7.2,71.6,21.9,3.7,2.8,87.4,25.1,0.9,34.2,27.6,133.8,93.1,18.0,7.2,3.8,3.4,187.9,114.2,0.2,10.5,4.3,146.2,4.5,38.2,103,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
16,Gato,Siames,5.5,F,4.3,12.6,38.6,7300,282000,6.2,65.4,26.2,5.1,3.3,103.8,32.9,1.4,44.1,37.2,116.9,76.3,26.4,6.4,3.3,3.1,166.8,108.6,0.7,9.7,4.4,139.9,3.9,38.7,127,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
17,Cão,SRD,3.6,M,16.9,14.3,42.5,8400,315000,6.9,69.5,23.5,4.1,2.9,95.7,28.9,1.1,38.5,31.8,127.6,84.8,21.2,6.9,3.7,3.2,178.6,101.1,0.4,10.2,4.1,144.1,4.3,38.4,113,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
18,Gato,Persa,4.8,F,4.0,13.4,39.7,7700,288000,6.5,66.9,25.6,4.6,2.9,98.6,31.2,1.3,41.8,34.9,118.9,78.2,24.9,6.7,3.5,3.2,171.7,104.3,0.6,10.0,4.2,142.1,4.1,38.5,121,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
19,Cão,Pastor Alemão,7.8,M,31.4,15.7,46.4,9600,370000,7.4,74.2,20.5,3.3,2.0,85.1,24.2,0.8,32.7,26.1,136.9,97.2,16.8,7.4,4.0,3.4,194.7,117.3,0.1,10.7,4.4,147.5,4.6,38.1,102,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
20,Gato,SRD,2.3,F,3.6,13.1,39.0,7400,278000,6.3,65.8,26.7,5.0,2.5,100.5,32.7,1.4,43.0,36.5,119.2,78.9,25.3,6.5,3.4,3.1,168.9,105.8,0.6,9.9,4.3,140.7,4.0,38.6,124,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
21,Cão,SRD,5.4,M,21.7,14.7,44.3,9000,340000,7.0,71.3,22.2,3.8,2.7,89.8,27.1,1.0,36.3,30.7,129.7,88.6,20.1,7.1,3.8,3.3,183.2,98.5,0.3,10.4,4.2,145.6,4.4,38.3,109,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
22,Gato,Siames,6.9,F,4.6,12.1,37.5,6800,258000,6.0,63.8,27.8,5.9,2.5,106.4,35.8,1.5,46.7,39.4,114.8,73.7,27.6,6.3,3.2,3.1,164.2,109.8,0.8,9.6,4.5,138.8,3.8,38.8,131,27,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
23,Cão,SRD,4.2,M,14.3,13.8,41.5,8000,305000,6.6,68.2,24.6,4.2,3.0,97.1,30.1,1.2,39.8,33.2,125.3,85.7,22.3,6.8,3.6,3.2,176.3,100.4,0.4,10.1,4.0,143.5,4.2,38.4,111,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
24,Gato,Persa,3.4,F,3.7,13.6,40.4,7800,292000,6.4,67.1,25.4,4.4,3.1,96.9,29.9,1.2,40.7,33.9,122.1,82.3,23.2,6.7,3.5,3.2,173.8,101.9,0.5,10.2,4.1,142.8,4.2,38.5,119,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
25,Cão,Golden Retriever,8.6,M,33.8,15.4,45.5,9400,360000,7.3,72.1,21.6,3.6,2.7,86.8,24.8,0.9,33.8,28.2,134.5,94.6,17.8,7.3,3.9,3.4,189.4,115.9,0.2,10.6,4.3,146.7,4.5,38.2,104,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
26,Gato,SRD,1.6,F,2.9,12.4,37.2,6700,245000,5.9,62.8,28.4,6.4,1.4,109.7,37.4,1.6,48.9,41.2,112.9,71.6,28.9,6.1,3.0,3.1,160.8,111.2,0.9,9.5,4.6,137.9,3.7,38.9,135,28,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
27,Cão,SRD,6.1,M,18.2,14.6,43.8,8700,335000,6.9,70.8,22.5,3.6,3.1,90.5,26.4,1.0,35.6,29.8,132.6,90.4,19.3,7.0,3.7,3.3,182.9,96.1,0.3,10.3,4.2,145.8,4.4,38.3,106,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
28,Gato,Siames,4.9,F,4.2,12.7,38.4,7200,279000,6.2,65.7,26.0,5.2,3.1,102.9,33.5,1.4,44.4,37.5,117.6,76.8,26.1,6.5,3.3,3.2,167.9,107.3,0.7,9.8,4.4,140.4,4.0,38.6,125,24,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
29,Cão,Pastor Alemão,9.7,M,29.6,15.2,45.9,9100,348000,7.1,71.9,21.8,3.5,2.8,87.9,25.6,0.9,34.5,28.5,133.2,92.8,18.3,7.2,3.8,3.4,186.5,113.6,0.2,10.5,4.3,146.0,4.4,38.2,103,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
30,Gato,Persa,5.7,F,4.4,13.3,39.5,7600,286000,6.4,66.6,25.7,4.7,3.0,99.8,31.7,1.3,42.6,35.6,119.6,79.1,24.7,6.6,3.4,3.2,170.4,103.8,0.6,10.0,4.2,141.8,4.1,38.5,120,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
31,Cão,SRD,3.1,M,13.8,13.7,41.0,7900,298000,6.5,68.4,24.8,4.3,2.5,96.2,29.7,1.2,39.5,32.5,124.7,84.2,22.6,6.7,3.5,3.2,175.9,99.8,0.4,10.0,4.1,143.1,4.2,38.4,112,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
32,Gato,SRD,7.8,F,4.9,11.9,36.2,6600,252000,5.9,63.2,28.1,6.1,1.6,107.8,36.2,1.5,47.3,39.8,114.2,73.2,27.9,6.2,3.1,3.1,163.5,110.1,0.8,9.6,4.5,138.7,3.9,38.8,133,26,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
33,Cão,SRD,7.3,M,24.1,14.9,44.7,8800,342000,6.8,70.5,22.8,3.7,3.0,88.9,26.9,1.0,36.7,30.9,130.4,89.1,19.8,7.1,3.8,3.3,184.7,97.2,0.3,10.4,4.2,145.9,4.4,38.3,108,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
34,Gato,Siames,2.7,F,3.4,13.0,38.8,7500,283000,6.3,66.2,26.3,5.3,2.2,101.2,32.4,1.4,43.3,36.8,118.3,77.8,25.6,6.5,3.3,3.2,168.4,106.4,0.6,9.9,4.3,140.9,4.0,38.6,123,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
35,Cão,Golden Retriever,10.2,M,36.7,15.5,46.0,9500,375000,7.4,73.5,20.7,3.2,2.6,85.6,24.5,0.8,33.1,27.9,135.1,96.5,17.5,7.4,4.0,3.4,193.2,116.8,0.1,10.7,4.4,147.2,4.6,38.1,101,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
36,Gato,Persa,6.4,F,4.7,12.5,38.1,7000,270000,6.1,64.9,26.9,5.7,2.5,105.1,34.7,1.5,45.8,38.7,116.2,75.1,26.8,6.4,3.2,3.2,166.1,108.9,0.7,9.7,4.4,139.3,3.9,38.7,129,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
37,Cão,SRD,4.8,M,17.6,14.4,42.9,8500,320000,6.8,69.8,23.2,3.9,3.1,94.1,28.5,1.1,38.1,31.3,128.3,86.9,21.5,6.9,3.7,3.2,179.8,100.7,0.4,10.2,4.1,144.4,4.3,38.4,114,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
38,Gato,SRD,1.3,F,2.7,12.2,36.8,6400,238000,5.8,62.5,28.7,6.6,1.2,110.3,38.1,1.7,49.6,42.1,112.1,70.9,29.4,6.0,2.9,3.1,159.4,112.7,1.0,9.4,4.7,137.2,3.6,39.0,138,29,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
39,Cão,Pastor Alemão,8.9,M,30.8,15.3,45.7,9200,352000,7.2,72.4,21.4,3.4,2.8,86.3,24.9,0.9,33.7,28.7,134.0,94.1,18.1,7.3,3.9,3.4,188.1,114.5,0.2,10.6,4.3,146.5,4.5,38.2,102,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
40,Gato,Siames,3.7,F,3.8,13.4,39.8,7700,287000,6.4,67.0,25.5,4.5,3.0,98.9,31.0,1.3,41.9,34.8,119.9,79.4,24.8,6.7,3.5,3.2,172.1,104.6,0.5,10.1,4.2,142.3,4.1,38.5,121,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
101,Cão,SRD,4.2,M,18.3,11.2,35.8,15200,280000,5.9,82.3,12.5,3.2,2.0,89.4,45.2,2.1,85.7,72.3,245.8,120.5,18.7,7.8,4.2,3.6,195.6,125.8,0.8,9.8,6.2,158.2,5.8,39.8,145,28,1,1,1,1,1,1,1,0,0,0,1,0,Infecção Respiratória
102,Gato,Siames,8.1,F,3.2,9.8,32.1,13500,245000,5.2,78.9,15.8,3.8,1.5,156.7,58.3,2.8,98.4,89.7,298.6,145.2,22.4,8.9,4.8,4.1,225.8,142.6,1.2,8.9,7.5,172.4,6.8,40.2,162,35,1,1,1,1,1,0,1,0,0,1,1,0,Doença Renal
103,Cão,Golden Retriever,11.5,M,28.9,13.4,40.2,9800,320000,6.8,68.2,24.1,4.2,3.5,185.4,28.9,1.2,42.8,38.5,128.9,89.7,19.6,7.8,4.1,3.7,198.7,118.9,0.4,11.2,4.8,158.3,5.2,38.9,125,22,1,1,1,1,0,0,0,1,1,0,0,0,Diabetes
104,Gato,Persa,6.8,F,2.8,10.5,31.6,12800,220000,4.9,75.4,18.2,4.1,2.3,142.6,52.7,2.4,92.8,84.6,276.3,138.9,20.8,8.5,4.6,3.9,215.6,135.4,1.0,8.7,7.2,168.9,6.4,39.8,158,32,1,1,1,1,1,1,1,0,1,1,1,0,Problema Gastrointestinal
105,Cão,SRD,7.2,M,14.7,12.8,38.9,11200,295000,6.1,72.8,20.6,4.5,2.1,124.5,38.7,1.8,67.4,58.2,198.7,105.8,16.9,7.2,3.8,3.4,185.3,108.7,0.6,10.5,4.3,152.6,4.9,39.2,138,26,1,1,0,0,1,1,0,1,0,0,1,0,Dermatite
106,Gato,SRD,9.4,F,3.9,9.2,29.8,14200,195000,4.6,81.7,12.9,3.6,1.8,168.9,62.4,3.1,108.7,96.4,312.8,158.7,24.6,9.8,5.2,4.6,248.7,158.9,1.5,8.2,8.1,185.6,7.9,40.6,175,38,1,1,1,1,1,1,1,1,1,1,1,0,Doença Hepática
107,Cão,Pastor Alemão,5.6,M,26.8,10.8,33.2,16800,180000,4.2,88.9,8.7,1.8,0.6,195.7,72.8,3.8,125.6,112.4,345.7,178.9,28.4,11.2,5.8,5.4,275.4,182.3,1.8,7.9,9.2,198.7,8.7,41.2,195,42,1,1,1,1,1,1,1,1,1,1,1,0,Anemia
108,Gato,Siames,4.3,F,3.6,8.9,27.4,18500,165000,3.8,92.4,6.1,1.2,0.3,212.8,85.6,4.5,142.8,128.9,378.9,195.7,31.7,12.8,6.4,6.4,298.7,198.6,2.1,7.2,10.7,215.8,9.8,41.8,218,45,1,1,1,1,1,1,1,1,1,1,1,0,Leucemia
109,Cão,SRD,12.8,M,16.2,13.1,39.6,10500,310000,6.3,69.7,23.8,4.1,2.4,118.7,35.2,1.6,54.8,47.6,167.9,92.4,15.2,6.8,3.6,3.2,172.4,98.7,0.5,10.8,4.5,148.9,5.1,39.1,132,24,1,1,0,0,0,0,0,0,0,1,1,0,Insuficiência Cardíaca
110,Gato,Persa,7.9,F,4.1,11.6,35.4,13800,235000,5.6,76.8,17.4,3.9,1.9,152.8,48.9,2.2,89.7,81.3,267.8,134.6,19.7,8.2,4.4,3.8,208.9,128.7,0.9,9.1,6.8,162.7,6.1,39.6,148,29,1,1,1,0,1,1,0,1,0,0,1,0,Tumor
111,Cão,SRD,3.7,M,15.8,12.4,37.8,10800,285000,6.0,71.2,21.9,4.3,2.6,134.6,41.8,1.9,62.7,54.3,189.4,98.7,17.8,7.5,4.0,3.5,178.9,112.4,0.7,10.2,4.7,156.3,5.5,39.4,142,28,1,1,0,1,1,0,0,0,1,0,1,0,Parasitose
112,Gato,SRD,2.1,F,2.9,11.9,36.7,12500,255000,5.8,74.6,19.2,4.0,2.2,148.7,44.6,2.0,69.8,60.4,201.7,104.8,18.9,7.9,4.2,3.7,185.6,118.9,0.8,9.8,4.9,158.7,5.7,39.5,152,31,1,1,0,1,1,1,0,0,1,0,1,0,Alergia
113,Cão,Golden Retriever,8.3,M,31.7,12.9,39.1,10200,305000,6.2,68.9,24.3,4.2,2.6,126.8,37.4,1.7,58.9,51.2,176.3,94.6,16.4,7.1,3.8,3.3,168.7,106.2,0.6,10.6,4.4,154.8,5.3,39.0,135,25,1,1,0,0,0,0,1,0,0,1,1,0,Fratura
114,Gato,Siames,5.2,F,3.7,10.7,33.9,14500,210000,5.4,79.8,14.6,3.7,1.9,162.4,55.8,2.6,94.7,86.2,289.4,142.8,21.6,8.7,4.7,4.0,222.7,138.9,1.1,8.8,7.4,175.6,6.6,40.0,165,34,1,1,1,1,1,1,1,1,1,1,1,0,Doença Infecciosa
115,Cão,SRD,6.5,M,19.4,13.6,40.8,9800,295000,6.4,69.8,23.6,4.1,2.5,112.4,34.7,1.5,52.6,45.8,158.7,87.9,16.7,6.9,3.7,3.2,164.8,102.4,0.5,10.4,4.3,151.7,5.0,38.8,128,23,1,1,0,0,0,0,0,0,0,0,1,0,Normal
116,Gato,Persa,4.7,F,3.8,12.1,37.2,7200,275000,6.1,65.4,26.8,5.1,2.6,104.8,33.9,1.4,45.7,38.9,118.7,77.8,25.9,6.4,3.3,3.1,168.9,108.7,0.7,9.7,4.4,140.6,4.0,38.6,127,25,0,0,0,0,0,0,0,0,0,0,0,0,Normal
117,Cão,Pastor Alemão,9.8,M,29.2,14.8,45.1,9200,348000,7.1,71.8,21.9,3.6,2.7,87.2,25.3,0.9,34.1,28.7,133.8,92.4,18.0,7.2,3.8,3.4,186.7,113.8,0.2,10.5,4.3,146.4,4.4,38.2,103,15,0,0,0,0,0,0,0,0,0,0,0,0,Normal
118,Gato,SRD,3.5,F,3.9,13.2,39.6,7800,292000,6.4,67.3,25.4,4.5,2.8,99.4,31.5,1.3,42.1,35.2,120.4,79.8,24.6,6.6,3.4,3.2,172.8,104.2,0.5,10.1,4.2,142.6,4.1,38.5,121,21,0,0,0,0,0,0,0,0,0,0,0,0,Normal
119,Cão,SRD,7.1,M,22.6,14.5,43.3,8600,332000,6.8,70.1,22.4,3.7,3.0,89.9,27.2,1.0,36.2,30.5,130.3,88.2,19.7,7.0,3.7,3.3,182.5,97.4,0.3,10.3,4.2,145.7,4.4,38.3,107,16,0,0,0,0,0,0,0,0,0,0,0,0,Normal
120,Gato,Siames,6.2,F,4.5,12.7,38.5,7400,281000,6.2,66.0,26.0,5.0,2.8,102.7,33.2,1.4,44.2,37.4,117.8,77.1,25.8,6.5,3.3,3.2,168.7,107.5,0.7,9.8,4.4,140.8,4.0,38.6,125,24,0,0,0,0,0,0,0,0,0,0,0,0,Normal
